name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Mexico City,Mexico",2024-02-11T00:00:00,16.1,16.1,-1.7,29.53,0,0,,0,0,12.6,9,222.2,1014,0,24.1,0,0,0,10,Clear,clear-night,
"Mexico City,Mexico",2024-02-11T01:00:00,15.5,15.5,-1.2,31.84,0,0,,0,0,13,9,225.8,1014,0,24.1,0,0,0,10,Clear,clear-night,
"Mexico City,Mexico",2024-02-11T02:00:00,15,15,-0.1,35.62,0,0,,0,0,14,9.7,223.3,1014,0,24.1,0,0,0,10,Clear,clear-night,
"Mexico City,Mexico",2024-02-11T03:00:00,14.5,14.5,0.6,38.7,0,0,,0,0,13.7,9.4,225.4,1013,0,24.1,0,0,0,10,Clear,clear-night,
"Mexico City,Mexico",2024-02-11T04:00:00,14.2,14.2,0.5,39.18,0,0,,0,0,14.4,9.4,213,1013,0,24.1,0,0,0,10,Clear,clear-night,
"Mexico City,Mexico",2024-02-11T05:00:00,14.1,14.1,-1,35.36,0,0,,0,0,13,8.6,216.8,1013,2.2,24.1,0,0,0,10,Clear,clear-night,
"Mexico City,Mexico",2024-02-11T06:00:00,13.8,13.8,-2.9,31.34,0,0,,0,0,10.8,7.9,231,1013,0.8,24.1,0,0,0,10,Clear,clear-night,
"Mexico City,Mexico",2024-02-11T07:00:00,13.6,13.6,-4.5,28.17,0,0,,0,0,11.2,8.6,230.7,1014,0,24.1,0,0,0,10,Clear,clear-night,
"Mexico City,Mexico",2024-02-11T08:00:00,14.1,14.1,-5.8,24.71,0,0,,0,0,11.2,8.3,221,1014,0,24.1,51,0.2,1,10,Clear,clear-day,
"Mexico City,Mexico",2024-02-11T09:00:00,16.3,16.3,-7.5,18.83,0,0,,0,0,9.7,6.5,213.4,1014,0,24.1,284,1,3,10,Clear,clear-day,
"Mexico City,Mexico",2024-02-11T10:00:00,18.6,18.6,-8.2,15.43,0,0,,0,0,11.2,5,194,1013,0,24.1,527,1.9,5,10,Clear,clear-day,
"Mexico City,Mexico",2024-02-11T11:00:00,20.8,20.8,-7,14.76,0,0,,0,0,15.1,3.6,211.4,1013,0,24.1,729,2.6,7,10,Clear,clear-day,
"Mexico City,Mexico",2024-02-11T12:00:00,22.1,22.1,-5.5,15.29,0,0,,0,0,22.7,7.6,225.7,1011,0,24.1,869,3.1,9,10,Clear,clear-day,
"Mexico City,Mexico",2024-02-11T13:00:00,23.4,23.4,-4.4,15.36,0,0,,0,0,31.7,14,243.9,1009,0,24.1,936,3.4,9,10,Clear,clear-day,
"Mexico City,Mexico",2024-02-11T14:00:00,24.1,24.1,-3.9,15.29,0,0,,0,0,34.2,19.8,237.1,1007,1.3,24.1,921,3.3,9,10,Clear,clear-day,
"Mexico City,Mexico",2024-02-11T15:00:00,24.1,24.1,-3.9,15.29,0,0,,0,0,36.4,20.5,231.6,1006,1.3,24.1,832,3,8,10,Clear,clear-day,
"Mexico City,Mexico",2024-02-11T16:00:00,23.6,23.6,-3.6,16.11,0,0,,0,0,34.9,22.7,239.3,1006,1.3,24.1,672,2.4,7,10,Clear,clear-day,
"Mexico City,Mexico",2024-02-11T17:00:00,22.5,22.5,-2.9,18.14,0,0,,0,0,32.8,22,239.2,1007,0,24.1,456,1.6,5,10,Clear,clear-day,
"Mexico City,Mexico",2024-02-11T18:00:00,20.9,20.9,-1.8,21.7,0,0,,0,0,29.9,20.5,240.2,1009,0,24.1,207,0.7,2,10,Clear,clear-day,
"Mexico City,Mexico",2024-02-11T19:00:00,19.6,19.6,-1.4,24.22,0,0,,0,0,25.6,14,219.6,1010,0,24.1,18,0.1,0,10,Clear,clear-night,
"Mexico City,Mexico",2024-02-11T20:00:00,18.8,18.8,-1,26.22,0,0,,0,0,21.6,12.2,212.4,1011,0,24.1,0,0,0,10,Clear,clear-night,
"Mexico City,Mexico",2024-02-11T21:00:00,18,18,-0.8,27.97,0,0,,0,0,20.5,10.4,217.1,1013,0,24.1,0,0,0,10,Clear,clear-night,
"Mexico City,Mexico",2024-02-11T22:00:00,17.3,17.3,-0.7,29.45,0,0,,0,0,14,8.3,210.7,1013,0,24.1,0,0,0,10,Clear,clear-night,
"Mexico City,Mexico",2024-02-11T23:00:00,16.8,16.8,-0.9,29.95,0,0,,0,0,10.8,7.9,208.4,1013,0,24.1,0,0,0,10,Clear,clear-night,
"Mexico City,Mexico",2024-02-12T00:00:00,16.3,16.3,-1.2,30.25,0,0,,0,0,11.5,9,213.5,1013,0,24.1,0,0,0,10,Clear,clear-night,
"Mexico City,Mexico",2024-02-12T01:00:00,15.8,15.8,-1.4,30.78,0,0,,0,0,11.9,8.6,208.8,1013,0,24.1,0,0,0,10,Clear,clear-night,
"Mexico City,Mexico",2024-02-12T02:00:00,15.4,15.4,-1.4,31.57,0,0,,0,0,9,6.1,211.7,1012,0,24.1,0,0,0,10,Clear,clear-night,
"Mexico City,Mexico",2024-02-12T03:00:00,14.9,14.9,-1.2,33.09,0,0,,0,0,8.3,6.5,244.9,1013,0,24.1,0,0,0,10,Clear,clear-night,
"Mexico City,Mexico",2024-02-12T04:00:00,14.5,14.5,-1,34.45,0,0,,0,0,8.6,6.8,212.2,1012,0,24.1,0,0,0,10,Clear,clear-night,
"Mexico City,Mexico",2024-02-12T05:00:00,14.2,14.2,-0.7,35.91,0,0,,0,0,8.3,6.8,235.6,1013,0,24.1,0,0,0,10,Clear,clear-night,
"Mexico City,Mexico",2024-02-12T06:00:00,13.9,13.9,-0.6,36.88,0,0,,0,0,8.6,6.5,219.4,1014,0,24.1,0,0,0,10,Clear,clear-night,
"Mexico City,Mexico",2024-02-12T07:00:00,13.7,13.7,-0.4,37.91,0,0,,0,0,8.3,5.8,227.3,1014,0,24.1,0,0,0,10,Clear,clear-night,
"Mexico City,Mexico",2024-02-12T08:00:00,14.1,14.1,-0.3,37.21,0,0,,0,0,4.7,3.2,214.5,1015,0,24.1,50,0.2,1,10,Clear,clear-day,
"Mexico City,Mexico",2024-02-12T09:00:00,15.6,15.6,-0.4,33.54,0,0,,0,0,7.6,4.3,172.8,1015,0,24.1,281,1,3,10,Clear,clear-day,
"Mexico City,Mexico",2024-02-12T10:00:00,17.6,17.6,-1.2,27.86,0,0,,0,0,20.2,6.5,186.4,1014,0,24.1,523,1.9,5,10,Clear,clear-day,
"Mexico City,Mexico",2024-02-12T11:00:00,19.9,19.9,-2.7,21.6,0,0,,0,0,28.1,13,208.3,1013,0,24.1,726,2.6,7,10,Clear,clear-day,
"Mexico City,Mexico",2024-02-12T12:00:00,21.5,21.5,-3.6,18.3,0,0,,0,0,32.4,18.4,222,1011,3.9,24.1,868,3.1,9,10,Clear,clear-day,
"Mexico City,Mexico",2024-02-12T13:00:00,22.3,22.3,-3.6,17.43,0,0,,0,0,37.1,21.6,223.2,1010,89.8,24.1,934,3.4,9,10,Partially cloudy,partly-cloudy-day,
"Mexico City,Mexico",2024-02-12T14:00:00,22.7,22.7,-3.7,16.89,0,0,,0,0,36.4,22.7,227.9,1009,53.3,24.1,885,3.2,9,10,Partially cloudy,partly-cloudy-day,
"Mexico City,Mexico",2024-02-12T15:00:00,22.7,22.7,-3.8,16.76,0,0,,0,0,38.5,23.4,229,1008,85,24.1,812,2.9,8,10,Partially cloudy,partly-cloudy-day,
"Mexico City,Mexico",2024-02-12T16:00:00,22.1,22.1,-3.6,17.64,0,0,,0,0,35.3,23.8,240.4,1008,87.4,24.1,636,2.3,6,10,Partially cloudy,partly-cloudy-day,
"Mexico City,Mexico",2024-02-12T17:00:00,21,21,-3.5,19.01,0,0,,0,0,32,23.8,248.6,1009,28.4,24.1,395,1.4,4,10,Partially cloudy,partly-cloudy-day,
"Mexico City,Mexico",2024-02-12T18:00:00,19.5,19.5,-2.7,22.14,0,0,,0,0,27.7,24.8,264,1011,94.4,24.1,201,0.7,2,10,Overcast,cloudy,
