name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Mexico City,Mexico",2022-01-01,28.1,-2,15.3,27.3,-2,15.2,2.2,48,0,0,0,,,105,,11.2,46.5,1020.1,5.5,8.4,238.3,20.7,9,,2022-01-01T07:10:47,2022-01-01T18:09:47,0.96,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMTO,76675099999,MMMX"
"Mexico City,Mexico",2022-01-02,28.1,1,14.3,27.2,-0.7,14.1,2.5,48.8,0,0,0,,,,21.6,33.2,27.4,1021.4,1,11.3,238.2,20.7,9,,2022-01-02T07:11:06,2022-01-02T18:10:24,0,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMTO,MMMX,76675099999"
"Mexico City,Mexico",2022-01-03,21.1,2.6,12.5,21.1,1.7,12.2,5.8,66.3,0,0,0,,,,14.4,18.4,85.7,1026.4,31.9,7.7,232.9,20,8,,2022-01-03T07:11:24,2022-01-03T18:11:02,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMTO,76675099999,MMMX"
"Mexico City,Mexico",2022-01-04,24.2,3,15,24.2,3,14.7,4.3,54.2,0,0,0,,,,28.8,12.7,82.2,1024.1,3.8,8.7,238.7,20.7,9,,2022-01-04T07:11:41,2022-01-04T18:11:40,0.06,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMMX,MMTO,76675099999"
"Mexico City,Mexico",2022-01-05,25,1,15.2,25,1,15.2,3.2,50.9,0,0,0,,,,21.6,18,134.4,1020.7,28.6,10.4,227.5,19.7,8,,2022-01-05T07:11:57,2022-01-05T18:12:18,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMTO,76675099999,MMMX"
"Mexico City,Mexico",2022-01-06,24.1,4,16,24.1,1.6,15.9,4.7,50.6,0,0,0,,,,32.4,18.4,346.4,1018.8,39.2,9.1,227.2,19.7,8,,2022-01-06T07:12:11,2022-01-06T18:12:56,0.13,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMTO,MMMX,76675099999"
"Mexico City,Mexico",2022-01-07,22.9,4.4,15.1,22.9,3.2,15,5.6,57.3,1.011,100,8.33,rain,,,35.3,16.6,143.6,1019.7,69.8,11.9,172.4,14.9,7,,2022-01-07T07:12:25,2022-01-07T18:13:34,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"76726099999,76675399999,76679399999,MMCB,76680099999,remote,MMTO,MMMX,76675099999"
"Mexico City,Mexico",2022-01-08,26.1,1,14.7,26.1,-0.7,14.5,4,53.3,1.1,100,8.33,rain,,,37.1,27.7,7.1,1022.6,49.5,11.3,168.2,14.5,7,,2022-01-08T07:12:37,2022-01-08T18:14:13,0.2,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMTO,MMMX,76675099999"
"Mexico City,Mexico",2022-01-09,28,1,15.2,27,1,15.1,3.9,52,0,0,0,,,,14.4,18.4,13.4,1025.3,34.6,12.4,224,19.3,8,,2022-01-09T07:12:48,2022-01-09T18:14:52,0.25,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"76726099999,76675399999,76679399999,MMCB,76680099999,remote,MMTO,76675099999,MMMX"
"Mexico City,Mexico",2022-01-10,19.1,3.1,12.3,19.1,1.7,11.7,4.3,57.9,0,0,0,rain,0,0,37.1,25.8,18.3,1027.2,61.6,12.7,175.7,15.2,8,10,2022-01-10T07:12:58,2022-01-10T18:15:31,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMTO,MMMX,76675099999"
"Mexico City,Mexico",2022-01-11,26,3,11.4,26,0.5,10.9,4.3,64.9,0,0,0,rain,0,0,18.4,17.5,322.4,1027.1,65.1,14.7,114.7,9.8,9,10,2022-01-11T07:13:07,2022-01-11T18:16:10,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,MMCB,76680099999,remote,MMSM,MMTO,76675099999,MMMX"
"Mexico City,Mexico",2022-01-12,26,3.1,12.5,26,1.7,12.2,3.2,58.4,0,0,0,,0,0,21.2,22.3,8.5,1025,17.9,13.2,218.3,18.9,8,10,2022-01-12T07:13:14,2022-01-12T18:16:49,0.33,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMMX,MMTO,76675099999"
"Mexico City,Mexico",2022-01-13,26,2,13.3,26,-0.8,13.1,2,51.1,0,0,0,,0,0,14.4,18.3,359.8,1023.6,30.4,13,218.8,19,9,10,2022-01-13T07:13:20,2022-01-13T18:17:29,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,MMCB,76680099999,remote,MMTO,76675099999,MMMX"
"Mexico City,Mexico",2022-01-14,27,2,13.7,26.4,2,13.4,-0.2,47.7,0,0,0,,0,0,21.6,14.9,38.4,1021.4,8,12.5,226.4,19.7,9,10,2022-01-14T07:13:25,2022-01-14T18:18:08,0.39,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMTO,MMMX,76675099999"
"Mexico City,Mexico",2022-01-15,22.1,4.1,14.6,22.1,4.1,14.5,4,53.1,0.1,100,4.17,rain,0,0,18,22.2,31.9,1019,26,14.5,176.9,15.2,8,10,2022-01-15T07:13:29,2022-01-15T18:18:47,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"76726099999,76675399999,76679399999,MMCB,76680099999,remote,MMSM,76675099999,MMTO,MMMX"
"Mexico City,Mexico",2022-01-16,19.9,3.1,11.6,19.9,3.1,11.2,6,71.6,0.3,100,4.17,rain,0,0,18,18.3,48.1,1022.1,65.1,9.8,155.6,13.5,8,10,2022-01-16T07:13:31,2022-01-16T18:19:26,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMTO,MMMX,76675099999"
"Mexico City,Mexico",2022-01-17,20.2,2.5,12.7,20.2,2.5,12.6,4.8,64,0.2,100,4.17,rain,0,0,14.4,27.5,75,1022,75.3,11.6,208.2,18,8,10,2022-01-17T07:13:32,2022-01-17T18:20:05,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"76726099999,76675399999,76679399999,MMCB,76680099999,remote,MMSM,MMTO,76675099999,MMMX"
"Mexico City,Mexico",2022-01-18,19.9,2,12.1,19.9,0.5,11.8,2.8,61.1,0,0,0,,0,0,18,14.8,340.2,1021.2,39.2,10.7,221.5,19.1,9,10,2022-01-18T07:13:32,2022-01-18T18:20:44,0.53,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMTO,76675099999,MMMX"
"Mexico City,Mexico",2022-01-19,22,2.1,14.7,22,2.1,14.4,2.3,47.9,0.1,100,4.17,rain,0,0,17.3,18.3,58.1,1019.8,45.9,12.8,220.7,19,9,10,2022-01-19T07:13:30,2022-01-19T18:21:23,0.56,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"76726099999,76675399999,76679399999,MMCB,76680099999,remote,MMTO,MMMX,76675099999"
"Mexico City,Mexico",2022-01-20,22.4,9,16.1,22.4,9,16.1,2,41.4,0.1,100,4.17,rain,0,0,17.6,22.3,143.2,1019.2,71.9,13.9,204,17.6,9,10,2022-01-20T07:13:28,2022-01-20T18:22:01,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMTO,76675099999,MMMX"
"Mexico City,Mexico",2022-01-21,23,7,13.9,23,5.7,13.7,5.1,58.6,0.9,100,20.83,rain,0,0,36,22.3,170.9,1019.5,84.9,12.9,157.4,13.6,7,10,2022-01-21T07:13:24,2022-01-21T18:22:39,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"76726099999,76675399999,76679399999,MMCB,76680099999,remote,MMSM,MMTO,76675099999,MMMX"
"Mexico City,Mexico",2022-01-22,20.9,7.1,14.4,20.9,6.3,14.3,4,53.3,0.6,100,8.33,rain,0,0,16.2,11.2,129.5,1022.1,70.5,15,206.5,17.9,9,10,2022-01-22T07:13:18,2022-01-22T18:23:17,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"76726099999,76675399999,76679399999,76680099999,remote,MMMX,MMTO,76675099999"
"Mexico City,Mexico",2022-01-23,23.1,1,13.9,23.1,0.9,13.7,4.7,58.5,0,0,0,,0,0,37.1,22.2,119.5,1020.7,35.2,12.3,223.5,19.3,9,10,2022-01-23T07:13:12,2022-01-23T18:23:55,0.7,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,remote,MMSM,MMTO,76675099999,MMMX"
"Mexico City,Mexico",2022-01-24,27,10,15.9,26.6,8.4,15.8,5.1,50.9,0,0,0,rain,0,0,32.8,29.4,171.4,1018.5,67.7,14.7,198.4,17.1,8,10,2022-01-24T07:13:04,2022-01-24T18:24:32,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,MMTO,76675099999"
"Mexico City,Mexico",2022-01-25,23,4,13.9,23,4,13.8,3.6,54.1,0,0,0,,0,0,29.5,22.3,230.3,1019,37.1,15.9,209.7,17.9,9,10,2022-01-25T07:12:54,2022-01-25T18:25:10,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMTO,76675099999,MMMX"
"Mexico City,Mexico",2022-01-26,23.5,3,15.6,23.5,1.6,15.4,4,49.4,0,0,0,,0,0,18,25.8,128.3,1020,22,13.5,233.7,20.1,9,10,2022-01-26T07:12:44,2022-01-26T18:25:46,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMTO,76675099999"
"Mexico City,Mexico",2022-01-27,23,3,14.3,23,1.7,14.2,4.2,56.2,0,0,0,,0,0,14.4,13,215.3,1021.1,27.9,12.8,225.4,19.6,9,10,2022-01-27T07:12:32,2022-01-27T18:26:23,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,MMCB,76680099999,remote,MMTO,MMMX,76675099999"
"Mexico City,Mexico",2022-01-28,22.9,3.1,14.6,22.9,1,14.4,5.1,56.6,0.4,100,4.17,rain,0,0,40.7,29.5,27.4,1023.6,31.7,12.7,231.6,19.8,9,10,2022-01-28T07:12:19,2022-01-28T18:26:59,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMTO,MMMX,76675099999"
"Mexico City,Mexico",2022-01-29,22.3,8.1,13.9,22.3,6.2,13.4,4.6,55.1,0.2,100,4.17,rain,0,0,19.1,18.4,78,1024.2,53.2,14.4,212.9,18.4,9,10,2022-01-29T07:12:05,2022-01-29T18:27:35,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMTO,76675099999"
"Mexico City,Mexico",2022-01-30,22.3,4,15.4,22.3,3.9,15.3,4.7,54.1,0.003,100,4.17,rain,0,0,18,21.4,85.3,1021.8,21.2,12.1,236.5,20.4,9,10,2022-01-30T07:11:49,2022-01-30T18:28:10,0.95,"Rain, Partially cloudy",Becoming cloudy in the afternoon with morning rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMTO,76675099999,MMMX"
"Mexico City,Mexico",2022-01-31,25,4.1,16.9,25,4.1,16.9,3.4,44.1,0,0,0,rain,0,0,32.4,22.3,249,1017,16,17.9,236.3,20.5,9,10,2022-01-31T07:11:33,2022-01-31T18:28:45,0,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMMX,MMTO"
"Mexico City,Mexico",2022-02-01,24.1,3.1,16.5,24.1,3.1,16.4,2.2,42.2,0,0,0,,0,0,32.4,24.1,192.8,1016.5,10,16.9,241.1,20.7,9,10,2022-02-01T07:11:15,2022-02-01T18:29:19,0.02,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,MMTO,76675099999,MMMX"
